epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2746.72,1.10183,0.46098,1.2413,0.99166,0.99101,0.99399,0.74301,1.00267,0.43013,1.36059,0.000666331,0.000666331,0.000666331
2,5486.52,0.9945,0.41209,1.17263,0.99302,0.99418,0.99386,0.74423,0.99985,0.42154,1.36784,0.00124502,0.00124502,0.00124502
3,8182.31,0.97208,0.40081,1.15753,0.995,0.99383,0.99438,0.83944,0.70136,0.35355,1.17094,0.00173571,0.00173571,0.00173571
4,10862.4,0.95657,0.39004,1.14512,0.99397,0.98722,0.99398,0.83145,0.73223,0.36856,1.17749,0.001604,0.001604,0.001604
5,13541.5,0.93986,0.37766,1.13662,0.99799,0.99099,0.9941,0.83294,0.73491,0.34499,1.18019,0.001472,0.001472,0.001472
6,16267.7,0.91396,0.34631,1.19797,0.99384,0.99401,0.99401,0.84947,0.67108,0.32618,1.14047,0.00134,0.00134,0.00134
7,18994.1,0.89616,0.33404,1.18355,0.99532,0.99401,0.99394,0.85614,0.67147,0.31889,1.13282,0.001208,0.001208,0.001208
8,21746.3,0.88359,0.32657,1.17337,0.99699,0.99194,0.99423,0.86732,0.61811,0.31067,1.09148,0.001076,0.001076,0.001076
9,24439,0.87273,0.31743,1.16467,0.99497,0.99301,0.99404,0.85372,0.67232,0.31536,1.12645,0.000944,0.000944,0.000944
10,28028.9,0.8646,0.31208,1.15946,0.99791,0.997,0.99399,0.86005,0.66112,0.29102,1.11954,0.000812,0.000812,0.000812
11,30692.9,0.85458,0.3041,1.15362,0.99855,0.995,0.99414,0.86082,0.64996,0.28342,1.10823,0.00068,0.00068,0.00068
12,33355.1,0.84813,0.29793,1.1456,0.99499,0.99259,0.99411,0.86663,0.63303,0.28376,1.09702,0.000548,0.000548,0.000548
